,x,y,length,width,area
0,991,139,11,8,72
1,1761,296,2,1,2
2,1752,298,1,1,1
3,329,307,2,1,2
4,136,311,1,1,1
5,349,311,1,1,1
6,1459,311,5,1,5
7,1466,311,2,1,2
8,1469,311,3,1,3
9,1684,311,1,1,1
10,1687,311,1,1,1
11,1689,311,1,1,1
12,1705,310,3,1,3
13,1447,312,1,1,1
14,1443,315,1,1,1
15,1688,315,1,1,1
16,382,316,1,1,1
17,1435,316,1,1,1
18,1659,317,1,1,1
19,1664,316,1,2,2
20,1667,316,1,1,1
21,1680,316,1,1,1
22,391,318,5,2,7
23,397,319,1,1,1
24,1408,319,1,1,1
25,1412,319,2,1,2
26,1415,319,4,3,6
27,158,320,2,1,2
28,382,320,2,1,2
29,399,320,4,2,5
30,1648,320,1,1,1
31,1650,320,2,1,2
32,1659,320,1,1,1
33,1661,320,3,1,3
34,1389,323,1,1,1
35,1391,323,1,2,2
36,1404,322,1,2,2
37,1635,323,1,1,1
38,1648,322,2,2,3
39,170,324,3,1,3
40,1363,326,1,1,1
41,1367,326,1,1,1
42,1612,327,2,1,2
43,1615,327,1,1,1
44,456,328,2,2,3
45,1343,328,1,1,1
46,1353,328,2,1,2
47,1620,328,1,1,1
48,1324,331,1,1,1
49,1588,331,2,2,3
50,1593,331,2,1,2
51,479,332,2,1,2
52,492,333,1,2,2
53,213,335,3,1,3
54,497,334,1,2,2
55,501,335,1,1,1
56,504,335,10,1,10
57,1269,335,3,2,4
58,1275,335,2,1,2
59,1280,335,8,1,8
60,1295,335,1,1,1
61,1570,334,5,2,5
62,1588,335,1,1,1
63,1467,337,1,1,1
64,1557,337,1,1,1
65,1571,337,2,2,3
66,227,338,1,1,1
67,538,339,1,1,1
68,548,339,1,1,1
69,1246,339,2,1,2
70,1556,339,1,1,1
71,239,340,1,1,1
72,560,340,2,2,3
73,565,341,1,1,1
74,1230,340,1,1,1
75,1544,341,1,1,1
76,572,342,2,1,2
77,597,343,3,2,4
78,601,343,1,1,1
79,1167,342,1,1,1
80,375,344,1,1,1
81,620,345,1,1,1
82,1133,344,1,1,1
83,1167,345,2,1,2
84,1172,344,1,1,1
85,1177,344,2,1,2
86,1181,344,2,1,2
87,1511,345,1,1,1
88,276,347,1,1,1
89,624,346,1,1,1
90,626,346,1,1,1
91,629,347,1,1,1
92,636,347,1,1,1
93,640,347,1,1,1
94,1121,347,5,1,5
95,1512,347,1,1,1
96,1517,347,1,1,1
97,655,348,1,1,1
98,1489,348,1,1,1
99,297,351,1,1,1
100,299,351,1,1,1
101,302,351,1,1,1
102,307,351,1,1,1
103,312,351,1,1,1
104,434,351,1,1,1
105,694,350,2,1,2
106,706,351,1,1,1
107,726,351,1,1,1
108,754,351,1,1,1
109,914,351,1,1,1
